dataset,grammar,L,strategy,sampling_strategy,sigma,eb_gamma,T,n_reps,mean_both_rules_acc,std_both_rules_acc,deterministic,elapsed_s
unconditional,aNbNcN,128,gaussian,greedy,20.0,,128,1,0.99,0.0,False,24.34
unconditional,aNbNcN,128,gaussian,categorical,0.5,,128,1,0.83,0.0,False,20.94
unconditional,aNbNcN,128,gaussian,categorical,2.0,,128,1,0.78,0.0,False,20.11
unconditional,aNbNcN,128,gaussian,categorical,10.0,,128,1,0.87,0.0,False,22.0
unconditional,aNbNcN,128,gaussian,categorical,20.0,,128,1,0.81,0.0,False,20.74
unconditional,aNbNcN,128,ar,greedy,,,128,1,1.0,0.0,True,23.78
unconditional,aNbNcN,128,ar,categorical,,,128,1,1.0,0.0,False,19.73
unconditional,aNbNcN,128,ebsampler,greedy,,0.1,128,1,1.0,0.0,True,12.37
unconditional,aNbNcN,128,ebsampler,greedy,,0.5,128,1,1.0,0.0,True,5.95
unconditional,aNbNcN,128,ebsampler,greedy,,2.0,128,1,1.0,0.0,True,3.05
unconditional,aNbNcN,128,ebsampler,greedy,,10.0,128,1,0.0,0.0,True,1.33
unconditional,aNbNcN,128,ebsampler,categorical,,0.1,128,1,1.0,0.0,False,8.48
unconditional,aNbNcN,128,ebsampler,categorical,,0.5,128,1,0.5,0.0,False,3.2
unconditional,aNbNcN,128,ebsampler,categorical,,2.0,128,1,0.14,0.0,False,1.39
unconditional,aNbNcN,128,ebsampler,categorical,,10.0,128,1,0.01,0.0,False,1.05
