dataset,grammar,L,strategy,sampling_strategy,sigma,eb_gamma,T,n_reps,mean_rule1,std_rule1,mean_rule2,std_rule2,mean_both_rules,std_both_rules,mean_format,std_format,n_eval_total,ci_low_both_rules,ci_high_both_rules,n_steps_mean,n_steps_max,deterministic,elapsed_s,n_correct,n_correct_too_low,uniqueness,duplication_rate,mean_lev_dist_normalized,lev_n_used,bigram_diversity,trigram_diversity,dfa_state_coverage,dfa_transition_coverage,n_entropy,n_coverage,m_entropy,nm_joint_coverage,max_depth_ratio_mean,max_depth_ratio_std,brackets_parens_ratio_mean,brackets_parens_ratio_std,n_zero_paren_sequences,distribution_path
unconditional,parentheses_and_brackets,32,uniform,greedy,,,16,5,0.454,0.048826,1.0,0.0,0.454,0.048826,0.862,0.032496,500,0.410875,0.497827,15.652,16,False,1490.54,227,False,1.0,0.0,0.14073649497487437,200,0.0005684240443370755,0.0011747430249632893,,,,,,,0.4041850220264317,0.11663224384489337,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T16_uniform_greedy_none.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,1.0,,8,5,0.174,0.025768,1.0,0.0,0.174,0.025768,0.178,0.024,500,0.143289,0.209682,5.6,9,False,1156.3,87,False,0.8160919540229885,0.1839080459770115,0.134255546645282,87,0.0014831294030404152,0.0030651340996168583,,,,,,,0.36853448275862066,0.056089716367652684,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T8_gaussian_greedy_sigma1.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,20.0,,8,5,0.508,0.044,1.0,0.0,0.508,0.044,0.666,0.057827,500,0.464285,0.551593,7.112,9,False,1056.09,254,False,1.0,0.0,0.14295147613065326,200,0.000508001016002032,0.0010498687664041995,,,,,,,0.4183070866141732,0.10286610338381857,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T8_gaussian_greedy_sigma20.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,2.0,,8,5,0.154,0.046303,1.0,0.0,0.154,0.046303,0.212,0.0449,500,0.12501,0.188266,5.548,8,False,1263.33,77,False,1.0,0.0,0.1541566985645933,77,0.0016757436112274822,0.003463203463203463,,,,,,,0.37012987012987014,0.07852009431776967,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T8_gaussian_greedy_sigma2.0.json
unconditional,parentheses_and_brackets,32,uniform,categorical,,,32,5,0.72,0.026077,1.0,0.0,0.72,0.026077,0.758,0.031875,500,0.679081,0.757565,28.968,32,False,1959.74,360,False,1.0,0.0,0.27061905608955017,200,0.0012690355329949238,0.004497751124437781,,,,,,,0.3672577075702076,0.0957474588871537,1.20278171674005,0.8545070893308246,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T32_uniform_categorical_none.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,5.0,,8,5,0.286,0.028705,1.0,0.0,0.286,0.028705,0.404,0.034986,500,0.248139,0.327124,6.052,9,False,1177.27,143,False,1.0,0.0,0.15058972717423422,143,0.0009023234829686443,0.0018648018648018648,,,,,,,0.361013986013986,0.09125304754094679,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T8_gaussian_greedy_sigma5.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,50.0,,8,5,0.526,0.02245,1.0,0.0,0.526,0.02245,0.724,0.021541,500,0.482201,0.569403,7.562,9,False,1080.37,263,False,1.0,0.0,0.14055590452261307,200,0.0004906169508156506,0.0010139416983523447,,,,,,,0.44082699619771865,0.10591290414109485,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T8_gaussian_greedy_sigma50.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,256.0,,8,5,0.522,0.038678,1.0,0.0,0.522,0.038678,0.758,0.034871,500,0.478215,0.56545,7.948,9,False,1190.17,261,False,1.0,0.0,0.14115106783919598,200,0.0004943764676801385,0.0010217113665389529,,,,,,,0.4384578544061303,0.1174656228572889,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T8_gaussian_greedy_sigma256.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,100.0,,8,5,0.556,0.056427,1.0,0.0,0.556,0.056427,0.778,0.039699,500,0.512186,0.59896,7.842,9,False,1207.89,278,False,1.0,0.0,0.14082050879396985,200,0.0004641448131817127,0.0009592326139088729,,,,,,,0.4318794964028777,0.11582514750877654,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T8_gaussian_greedy_sigma100.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,10.0,,8,5,0.464,0.076837,1.0,0.0,0.464,0.076837,0.59,0.05933,500,0.420727,0.507822,6.73,9,False,1479.84,232,False,1.0,0.0,0.14558260050251257,200,0.0005561735261401557,0.0011494252873563218,,,,,,,0.3911637931034483,0.10286857148519887,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T8_gaussian_greedy_sigma10.0.json
